qid_doc,qid,docno,OkapiTF,TFIDF,BM25,Laplace,JelinekMercer,ES_Builtin,label
1-184,1,184,4.065548,9.232129,24.280813,-177.122878,-140.203262,24.539576,1
1-12,1,12,3.461303,6.909111,17.888673,-177.945734,-155.593707,18.080305,1
1-13,1,13,3.421241,8.410411,21.341216,-178.326608,-156.295431,21.42192,1
1-51,1,51,3.339876,5.948686,16.013808,-177.096104,-150.11238,16.352388,1
1-1268,1,1268,3.304206,6.546155,18.693521,-175.519461,-138.50437,19.399366,0
1-486,1,486,3.20577,7.977336,21.978162,-177.820932,-144.531443,22.428564,0
1-14,1,14,3.037775,4.726591,13.84552,-176.261398,-145.792689,13.865509,1
1-588,1,588,3.015423,3.853204,10.803497,-177.293816,-152.04764,10.899425,0
1-747,1,747,2.882378,4.404165,11.863083,-179.3605,-158.091857,12.035128,0
1-878,1,878,2.874514,5.037483,13.716437,-180.508562,-157.767427,13.888765,0
1-1144,1,1144,2.867093,4.625814,12.203372,-177.133537,-159.189364,12.313179,0
1-172,1,172,2.834503,4.166816,11.941209,-178.583375,-152.603004,12.006075,0
1-792,1,792,2.807509,4.616973,12.8953,-176.2163,-153.360437,13.222139,0
1-576,1,576,2.677738,3.165539,9.338139,-176.973743,-153.927348,9.266822,0
1-311,1,311,2.640947,3.848211,11.286787,-179.716537,-153.271734,11.420341,0
1-876,1,876,2.602169,2.843673,7.356418,-179.897526,-166.763947,7.486085,1
1-1147,1,1147,2.590582,2.747034,7.911438,-176.892853,-160.754114,8.095258,0
1-606,1,606,2.552826,2.735012,7.159969,-180.188875,-166.87192,7.189279,0
1-435,1,435,2.54804,4.058607,10.802775,-179.497909,-166.843099,10.891643,0
1-1362,1,1362,2.547512,4.235211,11.965021,-180.629496,-159.927997,11.973771,0
1-1361,1,1361,2.54574,4.214392,12.060911,-180.311709,-159.911964,12.344203,0
1-573,1,573,2.538062,3.865625,10.986754,-180.512077,-159.98314,11.127787,0
1-746,1,746,2.533942,4.821164,12.718169,-180.31074,-166.559188,12.780876,0
1-236,1,236,2.529198,3.378606,9.764601,-180.343268,-160.237958,9.921696,0
1-141,1,141,2.517854,4.59145,12.158386,0.0,-166.239159,12.301764,0
1-914,1,914,2.50891,3.759155,10.058279,-179.803064,-167.049705,10.241991,0
1-658,1,658,2.504128,2.809129,8.045633,-178.782204,-160.53657,8.108413,0
1-880,1,880,2.495971,4.035838,10.629164,0.0,-165.982831,10.651925,1
1-52,1,52,2.489342,2.680874,7.043455,-179.898435,-167.174715,7.162744,1
1-92,1,92,2.468626,2.502565,6.70831,-179.591495,-167.05969,6.770849,0
1-1246,1,1246,2.445292,3.001144,8.990054,-179.190028,-154.372031,9.118924,0
1-1143,1,1143,2.440279,2.978311,8.214611,-180.629072,-167.016592,8.235638,0
1-309,1,309,2.429179,2.430736,0.0,-180.121881,-167.522865,0.0,0
1-373,1,373,2.418126,2.500102,7.404844,-178.530669,-161.173386,7.650364,0
1-280,1,280,2.402393,2.60781,6.875263,-180.52456,-167.257985,6.939597,0
1-374,1,374,2.398872,3.523484,10.198984,0.0,-160.072583,10.289451,0
1-152,1,152,2.395583,2.778376,8.143366,-180.226939,-160.817089,8.392378,0
1-1012,1,1012,2.393054,2.70563,7.407654,0.0,-167.062362,7.468672,0
1-1003,1,1003,2.392087,2.787789,8.199879,0.0,-160.527414,8.301215,0
1-540,1,540,2.37806,3.373232,9.322001,-179.899344,-160.930518,9.514405,0
1-502,1,502,2.371089,0.0,0.0,0.0,-165.624135,0.0,0
1-1169,1,1169,2.367253,3.510148,9.021245,-180.476497,-167.505714,9.047197,0
1-204,1,204,2.346999,2.412456,0.0,-179.785288,-167.415239,0.0,0
1-1042,1,1042,2.32045,2.89042,7.79594,0.0,-166.811627,7.860042,0
1-593,1,593,2.317966,0.0,0.0,-180.185511,-167.630257,0.0,0
1-429,1,429,2.299596,2.882685,7.04681,0.0,0.0,7.07741,0
1-1089,1,1089,2.284754,2.879245,7.794255,0.0,-167.566329,7.73193,0
1-717,1,717,2.279818,0.0,0.0,-178.696122,-168.15784,0.0,0
1-244,1,244,2.272777,0.0,0.0,-177.803782,-162.32647,0.0,0
1-430,1,430,2.261603,2.716059,6.769856,0.0,0.0,6.820354,0
1-1303,1,1303,2.251402,0.0,0.0,-180.075151,-168.199732,0.0,0
1-36,1,36,2.246043,3.374131,9.87431,0.0,-161.238754,9.911382,0
1-1155,1,1155,2.236591,2.512311,6.988921,0.0,-167.628232,7.080363,0
1-858,1,858,2.229238,2.68739,7.547131,-180.292447,-168.133348,7.532208,1
1-2,1,2,2.220296,2.568514,7.684239,0.0,-161.79584,7.827981,0
1-211,1,211,2.217661,0.0,0.0,-180.06271,-168.229328,0.0,0
1-1111,1,1111,2.216236,2.734389,6.795813,0.0,0.0,6.831626,0
1-801,1,801,2.215337,2.74259,8.057123,-180.174144,-161.507369,8.112507,0
1-991,1,991,2.210031,0.0,0.0,-179.671805,-168.307115,0.0,0
1-252,1,252,2.203897,3.333945,9.113724,-179.838136,-168.536708,9.150306,0
1-663,1,663,2.203578,2.774912,7.627974,0.0,-168.096061,7.728843,0
1-302,1,302,2.199308,0.0,0.0,0.0,-167.902537,0.0,0
1-982,1,982,2.195216,0.0,0.0,0.0,-168.333635,0.0,0
1-100,1,100,2.179391,2.603227,0.0,-179.901039,0.0,0.0,0
1-686,1,686,2.16383,3.127339,8.121026,-180.074908,-168.538488,8.129594,0
1-1110,1,1110,2.163457,0.0,0.0,-180.659606,-168.271702,0.0,0
1-758,1,758,2.156465,2.595987,0.0,0.0,0.0,0.0,0
1-1063,1,1063,2.155061,2.688796,6.723569,0.0,0.0,0.0,0
1-453,1,453,2.154553,2.70349,7.50353,-180.410533,-168.510778,7.541829,0
1-710,1,710,2.14109,0.0,0.0,-179.763094,-168.60266,0.0,0
1-665,1,665,2.134998,3.191087,9.203503,0.0,-168.014178,9.277375,0
1-38,1,38,2.13355,0.0,0.0,0.0,-167.616064,0.0,0
1-332,1,332,2.132374,3.597378,10.286573,-180.57178,-168.390804,10.274221,0
1-1167,1,1167,2.127684,2.699877,7.365721,-180.165047,-168.356015,7.34226,0
1-296,1,296,2.126907,0.0,0.0,-180.530435,-162.481447,0.0,0
1-1315,1,1315,2.123382,0.0,0.0,0.0,-168.432168,0.0,0
1-681,1,681,2.123175,0.0,6.786884,0.0,-168.199666,6.956372,0
1-232,1,232,2.119402,2.773864,7.676825,-180.229483,-168.673483,7.598289,0
1-195,1,195,2.118235,3.71679,10.828772,0.0,-162.086658,11.16396,1
1-552,1,552,2.11329,3.300058,9.278438,0.0,-168.811532,9.537923,0
1-262,1,262,2.111035,0.0,0.0,-178.656018,0.0,0.0,0
1-156,1,156,2.107668,0.0,0.0,-179.778178,0.0,0.0,0
1-114,1,114,2.104892,0.0,0.0,-180.291841,0.0,0.0,0
1-1380,1,1380,2.102094,0.0,0.0,-180.010639,0.0,0.0,0
1-253,1,253,2.101773,2.582128,0.0,0.0,0.0,0.0,0
1-874,1,874,2.093018,0.0,6.859981,-179.501085,-168.906354,7.010481,0
1-909,1,909,2.089696,0.0,0.0,0.0,0.0,0.0,0
1-643,1,643,2.089522,2.577115,0.0,0.0,0.0,0.0,0
1-1239,1,1239,2.086584,0.0,6.73677,-178.897372,-163.027156,6.91195,0
1-321,1,321,2.085845,0.0,0.0,0.0,-167.963296,0.0,0
1-624,1,624,2.081809,0.0,0.0,0.0,0.0,0.0,0
1-103,1,103,2.070288,0.0,6.865176,0.0,-168.54515,6.958291,0
1-416,1,416,2.056143,0.0,6.815234,-180.231179,-162.549362,6.859318,0
1-158,1,158,2.044666,3.087469,8.52991,0.0,-168.861538,8.584278,0
1-640,1,640,2.040865,0.0,0.0,-179.189204,0.0,0.0,0
1-42,1,42,2.032278,2.803991,8.10444,-180.296747,0.0,8.152139,0
1-441,1,441,2.031649,0.0,0.0,-180.2887,-162.718256,0.0,0
1-1335,1,1335,2.030277,0.0,0.0,-180.433187,-168.851243,0.0,0
1-828,1,828,2.030014,0.0,0.0,-180.411865,0.0,0.0,0
1-203,1,203,2.025998,2.412604,0.0,0.0,0.0,0.0,0
2-12,2,12,8.178043,12.450102,32.109074,-154.447245,-74.519754,32.438316,1
2-746,2,746,6.606914,8.14124,21.258692,-157.931017,-94.991522,21.348368,1
2-792,2,792,6.180226,6.338976,17.786085,-151.867789,-92.605789,18.237627,0
2-1089,2,1089,5.555088,5.839199,16.398025,-161.549518,-99.212906,16.240948,0
2-606,2,606,5.548818,4.420532,11.332062,-159.708442,-113.457606,11.365749,0
2-700,2,700,5.53727,5.314269,14.0075,0.0,-105.763141,14.049806,0
2-141,2,141,5.457412,6.29752,16.558503,0.0,-112.510545,16.737297,0
2-14,2,14,5.384305,5.523876,16.251336,-155.853448,-95.934654,16.268953,1
2-172,2,172,5.356732,5.021802,14.886036,-159.049741,-95.012735,14.973318,0
2-810,2,810,5.148747,4.533703,12.180284,-159.656469,-115.101761,12.205514,0
2-588,2,588,5.123799,3.876962,10.214491,-158.273891,-115.987843,10.266664,0
2-1158,2,1158,5.029989,4.017265,10.936634,0.0,-113.794768,10.898672,0
2-33,2,33,5.000863,2.887651,8.271852,-158.330315,-116.008665,8.32748,0
2-1379,2,1379,4.962939,3.984316,10.380449,0.0,-121.09463,10.390305,0
2-712,2,712,4.934703,3.918887,10.599797,-158.382064,-116.761039,10.5362,0
2-416,2,416,4.923173,3.398192,10.01862,-158.898597,-109.858033,10.069116,0
2-51,2,51,4.876118,5.826235,14.763578,-159.483388,-122.735837,14.962206,1
2-1246,2,1246,4.861079,3.651638,10.625917,-159.33903,-110.284498,10.753911,0
2-52,2,52,4.853659,2.775785,7.216654,-160.696552,-123.271461,7.322422,1
2-429,2,429,4.822767,4.250848,10.763728,0.0,-120.330572,10.828557,0
2-47,2,47,4.820899,3.875816,10.482453,-160.514513,-123.286781,10.530087,0
2-435,2,435,4.810232,2.608887,6.904006,-160.537156,-123.404557,6.947771,0
2-1263,2,1263,4.808937,4.092854,11.710609,-159.389679,-110.993046,11.877536,0
2-1169,2,1169,4.802472,5.162692,13.042397,0.0,-123.404955,13.068741,0
2-364,2,364,4.792889,3.179037,9.844755,-157.376335,-104.872488,9.88201,0
2-876,2,876,4.749769,3.823564,10.182703,0.0,-117.171553,10.398497,0
2-1042,2,1042,4.748192,4.42704,11.539036,0.0,-122.050317,11.610282,0
2-92,2,92,4.741174,3.797778,9.997534,-160.53845,-123.499492,10.076623,0
2-624,2,624,4.713624,2.846628,8.091084,-160.901076,-117.504503,8.217162,0
2-672,2,672,4.713382,2.709969,7.159935,0.0,-121.84287,7.214879,0
2-1303,2,1303,4.706358,2.741897,7.863209,-160.179963,-117.192249,7.919511,0
2-880,2,880,4.692284,2.472677,0.0,0.0,-121.863014,0.0,0
2-878,2,878,4.659019,3.480598,9.584584,0.0,-122.401212,9.703847,0
2-204,2,204,4.656493,2.562378,0.0,-160.632183,-123.646275,0.0,0
2-1163,2,1163,4.645799,3.67005,9.516336,-160.909147,-123.662203,9.427456,0
2-1063,2,1063,4.613883,3.082793,7.761708,0.0,-122.599543,7.780127,0
2-82,2,82,4.603746,2.765133,7.825052,-158.842063,-118.227,8.005996,0
2-395,2,395,4.597376,0.0,0.0,-160.1224,-124.554177,0.0,0
2-453,2,453,4.593018,3.519146,9.88608,-160.987691,-117.669967,9.934311,0
2-724,2,724,4.587883,5.622278,15.170303,0.0,-117.393899,15.328001,0
2-576,2,576,4.578413,2.673216,7.68864,-157.724376,-118.792745,7.626705,0
2-1170,2,1170,4.576081,5.498716,14.445005,0.0,-116.513026,14.293322,0
2-78,2,78,4.575997,4.063854,11.583184,0.0,-117.922121,11.640392,0
2-76,2,76,4.572877,2.685114,7.462452,-161.092359,-124.090599,7.443275,0
2-288,2,288,4.572624,2.696947,7.353829,-160.93379,-124.12642,7.405423,0
2-675,2,675,4.550044,0.0,0.0,-159.482128,-124.621196,0.0,0
2-476,2,476,4.539545,0.0,0.0,-160.60148,-117.964919,0.0,0
2-593,2,593,4.528524,2.507382,0.0,0.0,-124.531686,0.0,0
2-1095,2,1095,4.525311,3.417026,9.567197,-160.759011,-124.350288,9.571117,0
2-203,2,203,4.509144,2.803449,7.273453,0.0,-123.072078,7.30473,0
2-607,2,607,4.495178,3.530376,9.2527,0.0,-121.659248,9.332788,0
2-58,2,58,4.492065,2.535732,7.539748,0.0,-118.147162,7.792722,0
2-997,2,997,4.481167,0.0,6.963282,-161.463524,-124.447378,7.084808,0
2-1250,2,1250,4.458376,0.0,0.0,-160.525477,-125.022762,0.0,0
2-345,2,345,4.455637,2.746758,8.075497,0.0,-117.39713,8.073756,0
2-747,2,747,4.455399,3.78443,10.653727,0.0,-124.193364,10.84232,0
2-75,2,75,4.448498,3.642668,9.982202,0.0,-124.143203,10.165172,0
2-29,2,29,4.428473,2.490829,7.212154,-160.343551,-125.192298,7.367327,0
2-1087,2,1087,4.423511,2.714057,7.826383,0.0,-117.434529,7.891735,0
2-1051,2,1051,4.397278,0.0,7.262995,0.0,-118.699384,7.308199,0
2-781,2,781,4.396637,3.864394,10.786275,-161.206922,-125.269032,10.756535,0
2-540,2,540,4.383911,0.0,0.0,-161.453726,-125.061602,0.0,0
2-100,2,100,4.382195,3.767888,9.894886,-160.74492,-125.151723,9.978141,0
2-798,2,798,4.356354,0.0,0.0,-154.707065,-107.773915,0.0,0
2-328,2,328,4.354806,0.0,0.0,-160.513984,-119.404124,0.0,0
2-731,2,731,4.3531,0.0,0.0,-160.066937,-125.400938,0.0,0
2-466,2,466,4.350699,0.0,0.0,-160.376605,-125.118344,0.0,0
2-1295,2,1295,4.347943,2.897275,8.280814,0.0,-118.333753,8.481366,0
2-1217,2,1217,4.344501,3.767353,10.640476,0.0,-124.434536,10.655486,0
2-373,2,373,4.339393,0.0,0.0,-159.5957,-125.858242,0.0,0
2-297,2,297,4.335583,0.0,0.0,0.0,-124.412055,0.0,0
2-552,2,552,4.328615,0.0,0.0,0.0,-125.571135,0.0,0
2-1331,2,1331,4.323727,0.0,0.0,0.0,0.0,0.0,0
2-198,2,198,4.30331,0.0,0.0,-160.182966,-119.336059,0.0,0
2-441,2,441,4.2885,0.0,7.094693,-160.698583,-119.385464,7.200543,0
2-882,2,882,4.265639,0.0,0.0,0.0,0.0,0.0,0
2-846,2,846,4.26379,2.858444,8.228737,0.0,-125.692513,8.327994,0
2-1282,2,1282,4.248858,0.0,0.0,0.0,-125.666999,0.0,0
2-486,2,486,4.241127,2.771966,8.39236,0.0,-119.417422,8.6346,0
2-574,2,574,4.229653,2.556556,0.0,0.0,-125.838908,0.0,0
2-406,2,406,4.214908,0.0,0.0,0.0,-126.078672,0.0,0
2-1011,2,1011,4.214644,2.700654,7.158313,0.0,0.0,7.184313,0
2-1197,2,1197,4.210505,0.0,0.0,0.0,0.0,0.0,0
2-422,2,422,4.206585,0.0,0.0,0.0,0.0,0.0,0
2-1144,2,1144,4.201379,2.724154,7.237196,-159.630378,-126.024949,7.298135,0
2-430,2,430,4.200952,2.894216,7.262544,0.0,0.0,7.314359,0
2-615,2,615,4.194612,0.0,0.0,0.0,0.0,0.0,0
2-1180,2,1180,4.19376,0.0,0.0,0.0,-125.73999,0.0,0
2-1056,2,1056,4.193214,0.0,0.0,0.0,0.0,0.0,0
2-1226,2,1226,4.183591,0.0,0.0,-160.468139,0.0,0.0,0
2-1005,2,1005,4.1791,0.0,0.0,0.0,0.0,0.0,0
2-844,2,844,4.177125,0.0,0.0,-161.55414,0.0,0.0,0
2-209,2,209,4.1687,2.662756,7.803234,0.0,-119.910159,8.008696,0
2-1147,2,1147,4.168402,3.292515,8.96756,-158.498948,0.0,9.11749,0
2-1343,2,1343,4.162887,0.0,0.0,-160.75009,0.0,0.0,0
2-725,2,725,4.160761,0.0,0.0,0.0,0.0,0.0,0
2-1297,2,1297,4.158303,0.0,0.0,0.0,-125.803471,0.0,0
2-805,2,805,4.15544,2.986889,8.449863,0.0,0.0,8.559942,0
2-169,2,169,4.155369,0.0,0.0,0.0,-125.649888,0.0,0
2-812,2,812,4.153411,0.0,0.0,0.0,0.0,0.0,0
4-181,4,181,4.289307,8.149279,20.693224,-153.600658,-116.284982,20.880207,0
4-399,4,399,4.269099,10.587182,26.743216,-153.652879,-116.494149,26.967394,0
4-542,4,542,3.654523,6.25341,16.977336,-151.922189,-121.778282,17.119635,0
4-826,4,826,3.624753,4.424783,12.955902,-149.509693,-115.59471,13.095427,0
4-350,4,350,3.62451,4.153227,10.756041,-154.0725,-120.140449,10.841858,0
4-485,4,485,3.59106,6.951447,17.459079,0.0,-126.02867,17.545677,0
4-144,4,144,3.559762,8.136332,20.506954,-152.879091,-128.256295,20.515272,0
4-980,4,980,3.493054,4.36761,12.498246,-151.98762,-115.715506,12.636556,0
4-5,4,5,3.438157,8.863027,23.317603,0.0,-120.513899,23.382608,0
4-1204,4,1204,3.39483,3.091955,8.643246,-150.793612,-123.267961,8.765028,0
4-623,4,623,3.309903,4.0202,11.46169,-152.749812,-116.787396,11.607512,0
4-828,4,828,3.279256,4.409051,13.157295,-152.394082,-116.786442,13.383204,0
4-425,4,425,3.262967,4.105494,11.233627,0.0,-122.491417,11.300893,0
4-270,4,270,3.261581,2.757989,7.245073,-152.536448,-130.119813,7.324582,0
4-378,4,378,3.245701,2.768395,7.225124,0.0,-128.874848,7.242491,0
4-944,4,944,3.226209,4.476985,11.856477,-154.298322,-122.969808,11.974789,0
4-586,4,586,3.222786,4.156922,10.77471,0.0,-129.468316,10.839577,0
4-584,4,584,3.195679,4.332781,11.73527,-153.59333,-129.736861,11.919657,0
4-1002,4,1002,3.184404,3.354194,9.196163,-153.632488,-123.413228,9.364403,0
4-329,4,329,3.182922,3.471021,10.59322,-148.323691,-112.179723,10.973149,0
4-251,4,251,3.176141,4.501489,12.636303,0.0,-122.469119,12.71281,0
4-344,4,344,3.166918,3.505537,10.802852,-150.792148,-111.490202,10.878738,0
4-861,4,861,3.152954,3.613645,10.090815,0.0,-123.067739,10.134315,0
4-1295,4,1295,3.080434,3.54408,10.249932,-154.181694,-123.742792,10.520609,0
4-579,4,579,3.054229,3.991813,11.094221,-153.336496,-130.793818,11.146803,0
4-354,4,354,3.021386,0.0,0.0,-154.249322,-130.256323,0.0,0
4-1185,4,1185,3.01471,2.850342,7.63593,-154.315121,-130.844783,7.748868,0
4-656,4,656,3.013344,3.107952,9.166933,-152.733635,-124.460156,9.226803,0
4-1213,4,1213,3.007811,2.393009,0.0,-152.991657,-131.188914,0.0,0
4-732,4,732,3.003619,2.819577,8.281631,-153.89543,-124.300375,8.389423,0
4-108,4,108,2.997773,2.394274,6.682384,0.0,-130.097798,6.758062,0
4-746,4,746,2.996934,2.778791,7.347662,-154.267813,-130.553507,7.380857,0
4-119,4,119,2.992559,3.739604,9.327113,0.0,0.0,9.357503,0
4-724,4,724,2.9912,2.563762,7.047979,0.0,-130.692748,7.124795,0
4-476,4,476,2.989741,3.498139,10.73822,-153.204697,-118.040197,10.814098,0
4-740,4,740,2.989227,2.506386,6.940138,-153.291341,-131.308555,7.05849,0
4-175,4,175,2.973406,0.0,0.0,0.0,0.0,0.0,0
4-49,4,49,2.950209,2.434403,6.996419,-151.219389,-125.539702,7.008989,0
4-1287,4,1287,2.948611,0.0,0.0,0.0,0.0,0.0,0
4-364,4,364,2.946123,2.746334,8.410367,-151.670182,-119.091182,8.444235,0
4-387,4,387,2.936613,3.672157,9.845095,0.0,-129.868193,9.972476,0
4-60,4,60,2.935214,2.499921,6.881721,0.0,-131.044939,6.880307,0
4-441,4,441,2.916164,0.0,0.0,-152.586504,0.0,0.0,0
4-1057,4,1057,2.904494,0.0,0.0,-154.314386,0.0,0.0,0
4-1335,4,1335,2.892851,2.393121,7.154581,-153.396387,-124.727414,7.245321,0
4-547,4,547,2.876992,3.731954,10.747077,0.0,-124.246831,10.821667,0
4-585,4,585,2.860616,3.210172,8.754325,0.0,-130.972222,8.828656,0
4-1169,4,1169,2.85473,0.0,0.0,-153.919698,0.0,0.0,0
4-285,4,285,2.846538,2.746799,7.432444,0.0,-130.069513,7.555156,0
4-131,4,131,2.845007,2.478172,7.359178,-151.732917,-125.493957,7.562637,0
4-240,4,240,2.835661,2.588112,7.283799,-153.039174,-131.883217,7.352041,0
4-733,4,733,2.828107,0.0,0.0,-153.895692,-131.573216,0.0,0
4-707,4,707,2.815134,3.470411,8.845779,-153.451295,0.0,8.829162,0
4-908,4,908,2.80996,0.0,0.0,0.0,-131.755051,0.0,0
4-666,4,666,2.809639,2.916901,8.124845,0.0,-131.700318,8.248334,0
4-196,4,196,2.799971,2.314026,6.607975,-154.316486,-131.715257,6.849805,0
4-911,4,911,2.79917,0.0,0.0,0.0,0.0,0.0,0
4-564,4,564,2.798994,2.399806,0.0,-153.157797,-132.130615,0.0,0
4-342,4,342,2.791251,0.0,0.0,-153.46208,-131.86236,0.0,0
4-587,4,587,2.783852,3.337837,9.411264,0.0,-131.15314,9.483472,0
4-555,4,555,2.78005,2.341168,0.0,0.0,-131.89377,0.0,0
4-398,4,398,2.77959,2.565269,6.555364,0.0,0.0,6.611656,0
4-489,4,489,2.778954,0.0,0.0,0.0,-131.554247,0.0,0
